,Code_(CPT/DRG),Description,Rev_Code,Inpatient/Outpatient,Gross_Charges,Discounted_Cash_Price,Aetna,Cigna,Empire_Blue_Cross_Blue_Shield,Emblem_Health,United_Health_Group,Aetna_Medicare,AgeWell_Medicare,Emblem_Medicare,Empire_Medicare,Fidelis_Medicare,Healthfirst_Medicare,UHC_Community_Plan/United_Medicare,VNS_Medicare,WellCare_Medicare,1199,Affinity_Molina_Essential,Affinity_Molina_Medicaid/CHP,Amida_Care_Medicaid,Emblem_Medicaid/CHP,Empire_Healthplus_Essential,Empire_Healthplus_Exchange,Empire_Healthplus_Medicaid/CHP,Fidelis_Essential/Exchange,Fidelis_Medicaid/CHP,Healthfirst_Essential/Exchange,Healthfirst_Medicaid/CHP,MVP_Medicaid/CHP,MVP_Essential,United_Community_Plan_Essential,United_Community_Plan_Medicaid,VNS_Medicaid,Consumer_Health_Network,Devon,Equian,First_Health,Magnacare,Multiplan/Beechstreet/PHCS,QHM,Worldwide,Minimum_Negotiated_Charge,Maximum_Negotiated_Charge
190,82542,HC LAB COL CHROMOTOGRAHPY W/O OR W/MASS SPEC,0301,Inpatient/Outpatient,364.0,364.0,16.863,20.398,16.863,16.863,30.49,24.09,30.1125,24.09,24.09,24.09,24.8127,24.3309,24.8127,24.93315,182,191.2130446883,84.983575417,97.7311117296,97.7311117296,191.2130446883,212.4589385426,84.983575417,212.4589385426,84.983575417,218.4,89.2327541879,84.983575417,101.9802905004,118.9770055838,84.983575417,84.983575417,165.4016,165.4016,165.4016,165.4016,165.4016,165.4016,165.4016,165.4016,16.863,218.4
191,82550,HC LAB CREATINE KINASE TOTAL,0301,Inpatient/Outpatient,82.0,82.0,4.557,5.537,4.557,4.557,11,6.51,8.1375,6.51,6.51,6.51,6.7053,6.5751,6.7053,6.73785,41,180.6038666691,80.2683851863,92.3086429642,92.3086429642,180.6038666691,200.6709629657,80.2683851863,200.6709629657,80.2683851863,49.2,84.2818044456,80.2683851863,96.3220622235,112.3757392608,80.2683851863,80.2683851863,37.2608,37.2608,37.2608,37.2608,37.2608,37.2608,37.2608,37.2608,4.557,200.6709629657
192,82553,HC LAB CREATINE KINASE MB FRACTION ONLY,0301,Inpatient/Outpatient,87.0,87.0,8.085,9.618,8.085,8.085,19.5,11.55,14.4375,11.55,11.55,11.55,11.8965,11.6655,11.8965,11.95425,43.5,191.2130446883,84.983575417,97.7311117296,97.7311117296,191.2130446883,212.4589385426,84.983575417,212.4589385426,84.983575417,52.2,89.2327541879,84.983575417,101.9802905004,118.9770055838,84.983575417,84.983575417,39.5328,39.5328,39.5328,39.5328,39.5328,39.5328,39.5328,39.5328,8.085,212.4589385426
193,82565,HC LAB CREATININE BLOOD,0301,Inpatient/Outpatient,56.0,56.0,3.584,4.368,3.584,3.584,8.66,5.12,6.4,5.12,5.12,5.12,5.2736,5.1712,5.2736,5.2992,28,180.6038666691,80.2683851863,92.3086429642,92.3086429642,180.6038666691,200.6709629657,80.2683851863,200.6709629657,80.2683851863,33.6,84.2818044456,80.2683851863,96.3220622235,112.3757392608,80.2683851863,80.2683851863,25.4464,25.4464,25.4464,25.4464,25.4464,25.4464,25.4464,25.4464,3.584,200.6709629657
194,82570,HC LAB ASSAY OF CREATININE OTHER SOURCE,0301,Inpatient/Outpatient,200.0,200.0,3.626,4.368,3.626,3.626,8.74,5.18,6.475,5.18,5.18,5.18,5.3354,5.2318,5.3354,5.3613,100,180.6038666691,80.2683851863,92.3086429642,92.3086429642,180.6038666691,200.6709629657,80.2683851863,200.6709629657,80.2683851863,120,84.2818044456,80.2683851863,96.3220622235,112.3757392608,80.2683851863,80.2683851863,90.88,90.88,90.88,90.88,90.88,90.88,90.88,90.88,3.626,200.6709629657
195,82575,HC LAB CREATININE CLEARANCE,0301,Inpatient/Outpatient,200.0,200.0,6.622,7.868,6.622,6.622,15.96,9.46,11.825,9.46,9.46,9.46,9.7438,9.5546,9.7438,9.7911,100,180.6038666691,80.2683851863,92.3086429642,92.3086429642,180.6038666691,200.6709629657,80.2683851863,200.6709629657,80.2683851863,120,84.2818044456,80.2683851863,96.3220622235,112.3757392608,80.2683851863,80.2683851863,90.88,90.88,90.88,90.88,90.88,90.88,90.88,90.88,6.622,200.6709629657
196,82585,HC LAB ASSAY OF CRYOFIBRINOGEN,0301,Inpatient/Outpatient,65.0,65.0,9.898,11.949,9.898,9.898,14.48,14.14,17.675,14.14,14.14,14.14,14.5642,14.2814,14.5642,14.6349,32.5,191.2130446883,84.983575417,97.7311117296,97.7311117296,191.2130446883,212.4589385426,84.983575417,212.4589385426,84.983575417,39,89.2327541879,84.983575417,101.9802905004,118.9770055838,84.983575417,84.983575417,29.536,29.536,29.536,29.536,29.536,29.536,29.536,29.536,9.898,212.4589385426
197,82595,HC LAB CRYOGLOBULIN QUALITATIVE OR SEMI-QUANTITATIVE,0301,Inpatient/Outpatient,104.0,104.0,4.529,5.537,4.529,4.529,10.93,6.47,8.0875,6.47,6.47,6.47,6.6641,6.5347,6.6641,6.6964500000000005,52,180.6038666691,80.2683851863,92.3086429642,92.3086429642,180.6038666691,200.6709629657,80.2683851863,200.6709629657,80.2683851863,62.4,84.2818044456,80.2683851863,96.3220622235,112.3757392608,80.2683851863,80.2683851863,47.2576,47.2576,47.2576,47.2576,47.2576,47.2576,47.2576,47.2576,4.529,200.6709629657
198,82600,HC LAB ASSAY OF CYANIDE,0301,Inpatient/Outpatient,125.0,125.0,13.58,16.317,13.58,13.58,32.76,19.4,24.25,19.4,19.4,19.4,19.982,19.594,19.982,20.079,62.5,212.4840681818,94.4373636364,108.6029681818,108.6029681818,212.4840681818,236.0934090909,94.4373636364,236.0934090909,94.4373636364,75,99.1592318182,94.4373636364,113.3248363636,132.2123090909,94.4373636364,94.4373636364,56.8,56.8,56.8,56.8,56.8,56.8,56.8,56.8,13.58,236.0934090909
199,82607,HC LAB CYANOCOBALAMIN VITAMIN B-12,0301,Inpatient/Outpatient,181.0,181.0,10.556000000000001,12.824,10.556000000000001,10.556000000000001,25.45,15.08,18.85,15.08,15.08,15.08,15.532399999999999,15.2308,15.532399999999999,15.6078,90.5,228.9686794358,101.763857527,117.0284361561,117.0284361561,228.9686794358,254.4096438175,101.763857527,254.4096438175,101.763857527,108.6,106.8520504034,101.763857527,122.1166290324,142.4694005378,101.763857527,101.763857527,82.2464,82.2464,82.2464,82.2464,82.2464,82.2464,82.2464,82.2464,10.556000000000001,254.4096438175
200,82608,HC LAB CYANOCOBALAMIN VITAMIN B-12 BINDING CAPACITY,0301,Inpatient/Outpatient,292.0,292.0,10.024,11.949,10.024,10.024,24.18,14.32,17.9,14.32,14.32,14.32,14.749600000000001,14.4632,14.749600000000001,14.8212,146,191.2130446883,84.983575417,97.7311117296,97.7311117296,191.2130446883,212.4589385426,84.983575417,212.4589385426,84.983575417,175.2,89.2327541879,84.983575417,101.9802905004,118.9770055838,84.983575417,84.983575417,132.6848,132.6848,132.6848,132.6848,132.6848,132.6848,132.6848,132.6848,10.024,212.4589385426
201,82610,HC LAB CYSTATIN C,0301,Inpatient/Outpatient,210.0,210.0,12.964,15.736,12.964,12.964,22.96,18.52,23.15,18.52,18.52,18.52,19.0756,18.7052,19.0756,19.1682,105,191.2130446883,84.983575417,97.7311117296,97.7311117296,191.2130446883,212.4589385426,84.983575417,212.4589385426,84.983575417,126,89.2327541879,84.983575417,101.9802905004,118.9770055838,84.983575417,84.983575417,95.424,95.424,95.424,95.424,95.424,95.424,95.424,95.424,12.964,212.4589385426
202,82626,HC LAB DEHYDROEPIANDROSTERONE (DHEA),0301,Inpatient/Outpatient,400.0,400.0,17.689,21.273,17.689,17.689,42.67,25.27,31.5875,25.27,25.27,25.27,26.0281,25.5227,26.0281,26.15445,200,191.2130446883,84.983575417,97.7311117296,97.7311117296,191.2130446883,212.4589385426,84.983575417,212.4589385426,84.983575417,240,89.2327541879,84.983575417,101.9802905004,118.9770055838,84.983575417,84.983575417,181.76,181.76,181.76,181.76,181.76,181.76,181.76,181.76,17.689,240.0
203,82627,HC LAB DEHYDROEPIANDROSTERONE-SULFATE,0301,Inpatient/Outpatient,239.0,239.0,15.561,18.648,15.561,15.561,37.55,22.23,27.7875,22.23,22.23,22.23,22.8969,22.4523,22.8969,23.00805,119.5,228.9686794358,101.763857527,117.0284361561,117.0284361561,228.9686794358,254.4096438175,101.763857527,254.4096438175,101.763857527,143.4,106.8520504034,101.763857527,122.1166290324,142.4694005378,101.763857527,101.763857527,108.6016,108.6016,108.6016,108.6016,108.6016,108.6016,108.6016,108.6016,15.561,254.4096438175
204,82633,HC LAB DESOXYCORTICOSTERONE 11-,0301,Inpatient/Outpatient,221.0,221.0,21.686,26.229,21.686,21.686,52.31,30.98,38.725,30.98,30.98,30.98,31.9094,31.2898,31.9094,32.0643,110.5,255.8146005145,113.6953780064,130.7496847074,130.7496847074,255.8146005145,284.2384450161,113.6953780064,284.2384450161,113.6953780064,132.6,119.3801469068,113.6953780064,136.4344536077,159.173529209,113.6953780064,113.6953780064,100.4224,100.4224,100.4224,100.4224,100.4224,100.4224,100.4224,100.4224,21.686,284.2384450161
205,82634,HC LAB DEOXYCORTISOL 11-,0301,Inpatient/Outpatient,436.0,436.0,20.496,24.773,20.496,20.496,49.44,29.28,36.6,29.28,29.28,29.28,30.1584,29.5728,30.1584,30.3048,218,228.9686794358,101.763857527,117.0284361561,117.0284361561,228.9686794358,254.4096438175,101.763857527,254.4096438175,101.763857527,261.6,106.8520504034,101.763857527,122.1166290324,142.4694005378,101.763857527,101.763857527,198.1184,198.1184,198.1184,198.1184,198.1184,198.1184,198.1184,198.1184,20.496,261.6
206,82638,HC LAB ASSAY OF DIBUCAINE NUMBER,0301,Inpatient/Outpatient,162.0,162.0,8.575,10.199,8.575,8.575,20.68,12.25,15.3125,12.25,12.25,12.25,12.6175,12.3725,12.6175,12.67875,81,191.2130446883,84.983575417,97.7311117296,97.7311117296,191.2130446883,212.4589385426,84.983575417,212.4589385426,84.983575417,97.2,89.2327541879,84.983575417,101.9802905004,118.9770055838,84.983575417,84.983575417,73.6128,73.6128,73.6128,73.6128,73.6128,73.6128,73.6128,73.6128,8.575,212.4589385426
207,82652,HC LAB 1 25 DIHYDROXY W/O OR WITH FRACTIONS,0301,Inpatient/Outpatient,631.0,631.0,26.95,32.347,26.95,26.95,65.02,38.5,48.125,38.5,38.5,38.5,39.655,38.885,39.655,39.8475,315.5,250.6691953374,111.4085312611,128.1198109503,128.1198109503,250.6691953374,278.5213281527,111.4085312611,278.5213281527,111.4085312611,378.6,116.9789578241,111.4085312611,133.6902375133,155.9719437655,111.4085312611,111.4085312611,286.7264,286.7264,286.7264,286.7264,286.7264,286.7264,286.7264,286.7264,26.95,378.6
208,82657,HC LAB ENZYME ACTIVITY BLD/CELLS/TISS NONRAD SUBSTRATE,0301,Inpatient/Outpatient,180.0,180.0,15.519,18.648,15.519,15.519,30.49,22.17,27.7125,22.17,22.17,22.17,22.8351,22.3917,22.8351,22.94595,90,191.2130446883,84.983575417,97.7311117296,97.7311117296,191.2130446883,212.4589385426,84.983575417,212.4589385426,84.983575417,108,89.2327541879,84.983575417,101.9802905004,118.9770055838,84.983575417,84.983575417,81.792,81.792,81.792,81.792,81.792,81.792,81.792,81.792,15.519,212.4589385426
209,82658,HC LAB ENZYME ACTIVITY BLD/CELLS/TISS RADACTIV SUBSTRATE,0301,Inpatient/Outpatient,812.0,812.0,30.821,37.009,30.821,30.821,30.49,44.03,55.0375,44.03,44.03,44.03,45.3509,44.4703,45.3509,45.57105,406,250.6691953374,111.4085312611,128.1198109503,128.1198109503,250.6691953374,278.5213281527,111.4085312611,278.5213281527,111.4085312611,487.2,116.9789578241,111.4085312611,133.6902375133,155.9719437655,111.4085312611,111.4085312611,368.9728,368.9728,368.9728,368.9728,368.9728,368.9728,368.9728,368.9728,30.49,487.2
210,82664,HC LAB ELECTROPHORETIC TECHNIQUE NOS,0301,Inpatient/Outpatient,307.0,307.0,43.05,51.87,43.05,43.05,58.02,61.5,76.875,61.5,61.5,61.5,63.345,62.115,63.345,63.6525,153.5,250.6691953374,111.4085312611,128.1198109503,128.1198109503,250.6691953374,278.5213281527,111.4085312611,278.5213281527,111.4085312611,184.2,116.9789578241,111.4085312611,133.6902375133,155.9719437655,111.4085312611,111.4085312611,139.5008,139.5008,139.5008,139.5008,139.5008,139.5008,139.5008,139.5008,43.05,278.5213281527
211,82668,HC LAB ASSAY OF ERYTHROPOIETIN,0301,Inpatient/Outpatient,417.0,417.0,13.153,15.736,13.153,13.153,31.75,18.79,23.4875,18.79,18.79,18.79,19.3537,18.977899999999998,19.3537,19.44765,208.5,191.2130446883,84.983575417,97.7311117296,97.7311117296,191.2130446883,212.4589385426,84.983575417,212.4589385426,84.983575417,250.2,89.2327541879,84.983575417,101.9802905004,118.9770055838,84.983575417,84.983575417,189.4848,189.4848,189.4848,189.4848,189.4848,189.4848,189.4848,189.4848,13.153,250.2
212,82670,HC LAB ASSAY OF ESTRADIOL,0301,Inpatient/Outpatient,393.0,393.0,19.558,23.604,19.558,19.558,47.18,27.94,34.925,27.94,27.94,27.94,28.7782,28.2194,28.7782,28.9179,196.5,228.9686794358,101.763857527,117.0284361561,117.0284361561,228.9686794358,254.4096438175,101.763857527,254.4096438175,101.763857527,235.8,106.8520504034,101.763857527,122.1166290324,142.4694005378,101.763857527,101.763857527,178.5792,178.5792,178.5792,178.5792,178.5792,178.5792,178.5792,178.5792,19.558,254.4096438175
213,82671,HC LAB ASSAY OF ESTROGENS FRACTIONATED,0301,Inpatient/Outpatient,351.0,351.0,22.61,27.104,22.61,22.61,54.54,32.3,40.375,32.3,32.3,32.3,33.269,32.623,33.269,33.4305,175.5,255.8146005145,113.6953780064,130.7496847074,130.7496847074,255.8146005145,284.2384450161,113.6953780064,284.2384450161,113.6953780064,210.6,119.3801469068,113.6953780064,136.4344536077,159.173529209,113.6953780064,113.6953780064,159.4944,159.4944,159.4944,159.4944,159.4944,159.4944,159.4944,159.4944,22.61,284.2384450161
214,82672,HC LAB ASSAY OF ESTROGENS TOTAL,0301,Inpatient/Outpatient,357.0,357.0,15.19,18.361,15.19,15.19,36.64,21.7,27.125,21.7,21.7,21.7,22.351,21.917,22.351,22.4595,178.5,228.9686794358,101.763857527,117.0284361561,117.0284361561,228.9686794358,254.4096438175,101.763857527,254.4096438175,101.763857527,214.2,106.8520504034,101.763857527,122.1166290324,142.4694005378,101.763857527,101.763857527,162.2208,162.2208,162.2208,162.2208,162.2208,162.2208,162.2208,162.2208,15.19,254.4096438175
215,82677,HC LAB ASSAY OF ESTRIOL,0301,Inpatient/Outpatient,206.0,206.0,16.926,20.398,16.926,16.926,40.84,24.18,30.225,24.18,24.18,24.18,24.9054,24.4218,24.9054,25.0263,103,228.9686794358,101.763857527,117.0284361561,117.0284361561,228.9686794358,254.4096438175,101.763857527,254.4096438175,101.763857527,123.6,106.8520504034,101.763857527,122.1166290324,142.4694005378,101.763857527,101.763857527,93.6064,93.6064,93.6064,93.6064,93.6064,93.6064,93.6064,93.6064,16.926,254.4096438175
216,82679,HC LAB ASSAY OF ESTRONE,0301,Inpatient/Outpatient,411.0,411.0,17.465,20.979,17.465,17.465,42.14,24.95,31.1875,24.95,24.95,24.95,25.6985,25.1995,25.6985,25.82325,205.5,228.9686794358,101.763857527,117.0284361561,117.0284361561,228.9686794358,254.4096438175,101.763857527,254.4096438175,101.763857527,246.6,106.8520504034,101.763857527,122.1166290324,142.4694005378,101.763857527,101.763857527,186.7584,186.7584,186.7584,186.7584,186.7584,186.7584,186.7584,186.7584,17.465,254.4096438175
217,82693,HC LAB ASSAY OF ETHYLENE GLYCOL,0301,Inpatient/Outpatient,331.0,331.0,10.43,12.53,10.43,10.43,25.15,14.9,18.625,14.9,14.9,14.9,15.347,15.049,15.347,15.4215,165.5,212.4840681818,94.4373636364,108.6029681818,108.6029681818,212.4840681818,236.0934090909,94.4373636364,236.0934090909,94.4373636364,198.6,99.1592318182,94.4373636364,113.3248363636,132.2123090909,94.4373636364,94.4373636364,150.4064,150.4064,150.4064,150.4064,150.4064,150.4064,150.4064,150.4064,10.43,236.0934090909
218,82705,HC LAB FAT OR LIPIDS FECES QUALITATIVE,0301,Inpatient/Outpatient,212.0,212.0,3.5700000000000003,4.368,3.5700000000000003,3.5700000000000003,8.59,5.1,6.375,5.1,5.1,5.1,5.253,5.151,5.253,5.2785,106,180.6038666691,80.2683851863,92.3086429642,92.3086429642,180.6038666691,200.6709629657,80.2683851863,200.6709629657,80.2683851863,127.2,84.2818044456,80.2683851863,96.3220622235,112.3757392608,80.2683851863,80.2683851863,96.3328,96.3328,96.3328,96.3328,96.3328,96.3328,96.3328,96.3328,3.5700000000000003,200.6709629657
219,82710,HC LAB FAT OR LIPIDS FECES QUANTITATIVE,0301,Inpatient/Outpatient,373.0,373.0,11.76,14.28,11.76,11.76,28.37,16.8,21,16.8,16.8,16.8,17.304,16.968,17.304,17.388,186.5,191.2130446883,84.983575417,97.7311117296,97.7311117296,191.2130446883,212.4589385426,84.983575417,212.4589385426,84.983575417,223.8,89.2327541879,84.983575417,101.9802905004,118.9770055838,84.983575417,84.983575417,169.4912,169.4912,169.4912,169.4912,169.4912,169.4912,169.4912,169.4912,11.76,223.8
220,82725,HC LAB FATTY ACIDS NONESTRIFIED,0301,Inpatient/Outpatient,181.0,181.0,13.139,15.736,13.139,13.139,22.49,18.77,23.4625,18.77,18.77,18.77,19.3331,18.9577,19.3331,19.42695,90.5,191.2130446883,84.983575417,97.7311117296,97.7311117296,191.2130446883,212.4589385426,84.983575417,212.4589385426,84.983575417,108.6,89.2327541879,84.983575417,101.9802905004,118.9770055838,84.983575417,84.983575417,82.2464,82.2464,82.2464,82.2464,82.2464,82.2464,82.2464,82.2464,13.139,212.4589385426
221,82726,HC LAB VERY LONG CHAIN FATTY ACIDS,0301,Inpatient/Outpatient,319.0,319.0,13.825,16.611,13.825,13.825,30.49,19.75,24.6875,19.75,19.75,19.75,20.3425,19.9475,20.3425,20.44125,159.5,191.2130446883,84.983575417,97.7311117296,97.7311117296,191.2130446883,212.4589385426,84.983575417,212.4589385426,84.983575417,191.4,89.2327541879,84.983575417,101.9802905004,118.9770055838,84.983575417,84.983575417,144.9536,144.9536,144.9536,144.9536,144.9536,144.9536,144.9536,144.9536,13.825,212.4589385426
222,82728,HC LAB ASSAY OF FERRITIN,0301,Inpatient/Outpatient,195.0,195.0,9.541,11.368,9.541,9.541,23,13.63,17.0375,13.63,13.63,13.63,14.0389,13.7663,14.0389,14.10705,97.5,191.2130446883,84.983575417,97.7311117296,97.7311117296,191.2130446883,212.4589385426,84.983575417,212.4589385426,84.983575417,117,89.2327541879,84.983575417,101.9802905004,118.9770055838,84.983575417,84.983575417,88.608,88.608,88.608,88.608,88.608,88.608,88.608,88.608,9.541,212.4589385426
223,82731,HC LAB FETAL FIBRONECTIN CERVICOVAG SECR SEMI-QUANT,0301,Inpatient/Outpatient,827.0,827.0,45.087,54.201,45.087,45.087,108.77,64.41,80.5125,64.41,64.41,64.41,66.3423,65.0541,66.3423,66.66435,413.5,285.647922,126.954632,145.9978268,145.9978268,285.647922,317.38658,126.954632,317.38658,126.954632,496.2,133.3023636,126.954632,152.3455584,177.7364848,126.954632,126.954632,375.7888,375.7888,375.7888,375.7888,375.7888,375.7888,375.7888,375.7888,45.087,496.2
224,82746,HC LAB ASSAY OF FOLIC ACID SERUM,0301,Inpatient/Outpatient,240.0,240.0,10.29,12.243,10.29,10.29,24.83,14.7,18.375,14.7,14.7,14.7,15.141,14.847,15.141,15.2145,120,191.2130446883,84.983575417,97.7311117296,97.7311117296,191.2130446883,212.4589385426,84.983575417,212.4589385426,84.983575417,144,89.2327541879,84.983575417,101.9802905004,118.9770055838,84.983575417,84.983575417,109.056,109.056,109.056,109.056,109.056,109.056,109.056,109.056,10.29,212.4589385426
225,82747,HC LAB ASSAY OF FOLIC ACID RBC,0301,Inpatient/Outpatient,331.0,331.0,12.355,14.861,12.355,12.355,29.26,17.65,22.0625,17.65,17.65,17.65,18.1795,17.8265,18.1795,18.26775,165.5,191.2130446883,84.983575417,97.7311117296,97.7311117296,191.2130446883,212.4589385426,84.983575417,212.4589385426,84.983575417,198.6,89.2327541879,84.983575417,101.9802905004,118.9770055838,84.983575417,84.983575417,150.4064,150.4064,150.4064,150.4064,150.4064,150.4064,150.4064,150.4064,12.355,212.4589385426
226,82775,HC LAB GALACTOSE-1-PHOSPHATE URIDYL TRANSFERASE QUANT,0301,Inpatient/Outpatient,233.0,233.0,14.749,17.78,14.749,14.749,35.57,21.07,26.3375,21.07,21.07,21.07,21.7021,21.2807,21.7021,21.80745,116.5,191.2130446883,84.983575417,97.7311117296,97.7311117296,191.2130446883,212.4589385426,84.983575417,212.4589385426,84.983575417,139.8,89.2327541879,84.983575417,101.9802905004,118.9770055838,84.983575417,84.983575417,105.8752,105.8752,105.8752,105.8752,105.8752,105.8752,105.8752,105.8752,14.749,212.4589385426
227,82784,HC LAB ASSAY OF GAMMAGLOBULIN IGA IGD IGG IGM EACH,0301,Inpatient/Outpatient,269.0,269.0,6.51,7.868,6.51,6.51,15.71,9.3,11.625,9.3,9.3,9.3,9.579,9.393,9.579,9.6255,134.5,180.6038666691,80.2683851863,92.3086429642,92.3086429642,180.6038666691,200.6709629657,80.2683851863,200.6709629657,80.2683851863,161.4,84.2818044456,80.2683851863,96.3220622235,112.3757392608,80.2683851863,80.2683851863,122.2336,122.2336,122.2336,122.2336,122.2336,122.2336,122.2336,122.2336,6.51,200.6709629657
228,82785,HC LAB ASSAY OF GAMMAGLOBULIN IGE,0301,Inpatient/Outpatient,71.0,71.0,11.522,13.986,11.522,11.522,27.82,16.46,20.575,16.46,16.46,16.46,16.9538,16.6246,16.9538,17.0361,35.5,191.2130446883,84.983575417,97.7311117296,97.7311117296,191.2130446883,212.4589385426,84.983575417,212.4589385426,84.983575417,42.6,89.2327541879,84.983575417,101.9802905004,118.9770055838,84.983575417,84.983575417,32.2624,32.2624,32.2624,32.2624,32.2624,32.2624,32.2624,32.2624,11.522,212.4589385426
229,82787,HC LAB GAMMAGLOBULIN IMMUNOGLOBULIN SUBCLASSES EA,0301,Inpatient/Outpatient,91.0,91.0,5.614,6.7059999999999995,5.614,5.614,13.55,8.02,10.025,8.02,8.02,8.02,8.2606,8.1002,8.2606,8.3007,45.5,180.6038666691,80.2683851863,92.3086429642,92.3086429642,180.6038666691,200.6709629657,80.2683851863,200.6709629657,80.2683851863,54.6,84.2818044456,80.2683851863,96.3220622235,112.3757392608,80.2683851863,80.2683851863,41.3504,41.3504,41.3504,41.3504,41.3504,41.3504,41.3504,41.3504,5.614,200.6709629657
230,82803,HC LAB BLOOD GASES ANY COMBINATION PH PCO2 PO2 CO2 HC03,0301,Inpatient/Outpatient,500.0,500.0,18.249,21.854,18.249,18.249,32.66,26.07,32.5875,26.07,26.07,26.07,26.8521,26.3307,26.8521,26.98245,250,250.6691953374,111.4085312611,128.1198109503,128.1198109503,250.6691953374,278.5213281527,111.4085312611,278.5213281527,111.4085312611,300,116.9789578241,111.4085312611,133.6902375133,155.9719437655,111.4085312611,111.4085312611,227.2,227.2,227.2,227.2,227.2,227.2,227.2,227.2,18.249,300.0
231,82805,HC LAB GASES BLOOD ANY PH WITH O2 SATURATION,0301,Inpatient/Outpatient,203.0,203.0,55.139,66.444,55.139,55.139,47.93,78.77,98.4625,78.77,78.77,78.77,81.1331,79.5577,81.1331,81.52695,101.5,285.647922,126.954632,145.9978268,145.9978268,285.647922,317.38658,126.954632,317.38658,126.954632,121.8,133.3023636,126.954632,152.3455584,177.7364848,126.954632,126.954632,92.2432,92.2432,92.2432,92.2432,92.2432,92.2432,92.2432,92.2432,47.93,317.38658
232,82810,HC LAB GASES BLOOD O2 SATURATION ONLY,0301,Inpatient/Outpatient,34.0,34.0,6.839,8.162,6.839,6.839,14.74,9.77,12.2125,9.77,9.77,9.77,10.0631,9.8677,10.0631,10.11195,17,180.6038666691,80.2683851863,92.3086429642,92.3086429642,180.6038666691,200.6709629657,80.2683851863,200.6709629657,80.2683851863,20.4,84.2818044456,80.2683851863,96.3220622235,112.3757392608,80.2683851863,80.2683851863,15.4496,15.4496,15.4496,15.4496,15.4496,15.4496,15.4496,15.4496,6.839,200.6709629657
233,82820,HC LAB HEMOGLOBIN OXYGEN AFFINITY,0301,Inpatient/Outpatient,401.0,401.0,9.338,11.368,9.338,9.338,16.88,13.34,16.675,13.34,13.34,13.34,13.7402,13.4734,13.7402,13.8069,200.5,192.0204825515,85.3424366896,98.143802193,98.143802193,192.0204825515,213.3560917239,85.3424366896,213.3560917239,85.3424366896,240.6,89.609558524,85.3424366896,102.4109240275,119.4794113654,85.3424366896,85.3424366896,182.2144,182.2144,182.2144,182.2144,182.2144,182.2144,182.2144,182.2144,9.338,240.6
234,82941,HC LAB ASSAY OF GASTRIN,0301,Inpatient/Outpatient,250.0,250.0,12.341,14.861,12.341,12.341,29.78,17.63,22.0375,17.63,17.63,17.63,18.1589,17.8063,18.1589,18.24705,125,228.9686794358,101.763857527,117.0284361561,117.0284361561,228.9686794358,254.4096438175,101.763857527,254.4096438175,101.763857527,150,106.8520504034,101.763857527,122.1166290324,142.4694005378,101.763857527,101.763857527,113.6,113.6,113.6,113.6,113.6,113.6,113.6,113.6,12.341,254.4096438175
235,82943,HC LAB ASSAY OF GLUCAGON,0301,Inpatient/Outpatient,323.0,323.0,10.003,11.949,10.003,10.003,24.13,14.29,17.8625,14.29,14.29,14.29,14.7187,14.4329,14.7187,14.79015,161.5,228.9686794358,101.763857527,117.0284361561,117.0284361561,228.9686794358,254.4096438175,101.763857527,254.4096438175,101.763857527,193.8,106.8520504034,101.763857527,122.1166290324,142.4694005378,101.763857527,101.763857527,146.7712,146.7712,146.7712,146.7712,146.7712,146.7712,146.7712,146.7712,10.003,254.4096438175
236,82945,HC LAB GLUCOSE BODY FLUID OTHER THAN BLOOD,0301,Inpatient/Outpatient,59.0,59.0,2.751,3.206,2.751,2.751,6.62,3.93,4.9125,3.93,3.93,3.93,4.0479,3.9693,4.0479,4.06755,29.5,180.6038666691,80.2683851863,92.3086429642,92.3086429642,180.6038666691,200.6709629657,80.2683851863,200.6709629657,80.2683851863,35.4,84.2818044456,80.2683851863,96.3220622235,112.3757392608,80.2683851863,80.2683851863,26.8096,26.8096,26.8096,26.8096,26.8096,26.8096,26.8096,26.8096,2.751,200.6709629657
237,82947,HC LAB GLUCOSE QUANTITATIVE BLOOD EXCEPT REAGENT STRIP,0301,Inpatient/Outpatient,47.0,47.0,2.751,3.206,2.751,2.751,6.62,3.93,4.9125,3.93,3.93,3.93,4.0479,3.9693,4.0479,4.06755,23.5,180.6038666691,80.2683851863,92.3086429642,92.3086429642,180.6038666691,200.6709629657,80.2683851863,200.6709629657,80.2683851863,28.2,84.2818044456,80.2683851863,96.3220622235,112.3757392608,80.2683851863,80.2683851863,21.3568,21.3568,21.3568,21.3568,21.3568,21.3568,21.3568,21.3568,2.751,200.6709629657
238,82948,HC LAB GLUCOSE QUANTITATIVE BLOOD REAGENT STRIP,0301,Inpatient/Outpatient,39.0,39.0,3.528,4.368,3.528,3.528,5.34,5.04,6.3,5.04,5.04,5.04,5.1912,5.0904,5.1912,5.2164,19.5,180.6038666691,80.2683851863,92.3086429642,92.3086429642,180.6038666691,200.6709629657,80.2683851863,200.6709629657,80.2683851863,23.4,84.2818044456,80.2683851863,96.3220622235,112.3757392608,80.2683851863,80.2683851863,17.7216,17.7216,17.7216,17.7216,17.7216,17.7216,17.7216,17.7216,3.528,200.6709629657
